time,open,high,low,close,volume
2024-01-02T00:00:00Z,100,101,99,100,1000
2024-01-03T00:00:00Z,100,102,99,101,1000
2024-01-04T00:00:00Z,101,103,100,102,1000
2024-01-05T00:00:00Z,102,104,101,103,1000
2024-01-08T00:00:00Z,103,105,102,104,1000
2024-01-09T00:00:00Z,104,106,103,105,1000
2024-01-10T00:00:00Z,105,107,104,106,1000
2024-01-11T00:00:00Z,106,108,105,107,1000
2024-01-12T00:00:00Z,107,109,106,108,1000
2024-01-15T00:00:00Z,108,110,107,109,1000
2024-01-16T00:00:00Z,109,111,100,101,1000
2024-01-17T00:00:00Z,101,102,95,96,1000
2024-01-18T00:00:00Z,96,97,90,91,1000
2024-01-19T00:00:00Z,91,92,88,89,1000
2024-01-22T00:00:00Z,89,90,85,86,1000
2024-01-23T00:00:00Z,86,87,84,85,1000
2024-01-24T00:00:00Z,85,95,84,94,1000
2024-01-25T00:00:00Z,94,100,93,99,1000
2024-01-26T00:00:00Z,99,105,98,104,1000
2024-01-29T00:00:00Z,104,110,103,109,1000
